2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"BestFit\random\test21.txt",74667,7.92436,7.74271,us,,,,,,16,25
"BestFitDecreasing\random\test21.txt",74667,9.55937,9.41681,us,,,,,,16,25
"FirstFit\random\test22.txt",344615,2.04682,1.94964,us,,,,,,7,11
"FirstFitDecreasing\random\test22.txt",248889,2.74387,2.6995,us,,,,,,7,11
"BestFit\random\test22.txt",248889,2.66997,2.63672,us,,,,,,7,11
"BestFitDecreasing\random\test22.txt",248889,3.28578,3.26451,us,,,,,,7,11
"FirstFit\random\test23.txt",194783,3.64868,3.69,us,,,,,,11,20
"FirstFitDecreasing\random\test23.txt",149333,4.7896,4.81307,us,,,,,,11,20
"BestFit\random\test23.txt",112000,5.46388,5.44085,us,,,,,,11,20
"BestFitDecreasing\random\test23.txt",112000,7.35832,6.97545,us,,,,,,11,20
"FirstFit\random\test24.txt",248889,3.15622,3.13895,us,,,,,,10,17
"FirstFitDecreasing\random\test24.txt",172308,4.05988,4.08063,us,,,,,,9,17
"BestFit\random\test24.txt",160000,4.42565,4.39453,us,,,,,,10,17
"BestFitDecreasing\random\test24.txt",112000,5.69632,5.58036,us,,,,,,9,17
"FirstFit\two-cat\test0.txt",344615,2.00703,1.94964,us,,,,,,5,14
"FirstFitDecreasing\two-cat\test0.txt",263529,2.64811,2.66811,us,,,,,,4,14
"BestFit\two-cat\test0.txt",298667,2.41303,2.35421,us,,,,,,5,14
"BestFitDecreasing\two-cat\test0.txt",203636,3.40945,3.37612,us,,,,,,4,14
"FirstFit\two-cat\test1.txt",179200,3.96735,3.92369,us,,,,,,10,27
"FirstFitDecreasing\two-cat\test1.txt",100000,5.87285,5.9375,us,,,,,,9,27
"BestFit\two-cat\test1.txt",100000,5.14963,5.15625,us,,,,,,10,27
"BestFitDecreasing\two-cat\test1.txt",74667,9.70805,8.99829,us,,,,,,9,27
"FirstFit\two-cat\test2.txt",165926,4.16943,4.23758,us,,,,,,10,29
"FirstFitDecreasing\two-cat\test2.txt",112000,6.59156,6.41741,us,,,,,,10,29
"BestFit\two-cat\test2.txt",112000,5.44941,5.44085,us,,,,,,10,29
