2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"BestFit\random\test1.txt",56000,17.6733,17.0201,us,,,,,,17,28
"BestFitDecreasing\random\test1.txt",28000,22.8014,22.8795,us,,,,,,16,28
"FirstFit\random\test2.txt",74667,9.03659,8.3705,us,,,,,,11,18
"FirstFitDecreasing\random\test2.txt",56000,11.0689,9.48661,us,,,,,,10,18
"BestFit\random\test2.txt",64000,10.8929,9.76562,us,,,,,,10,18
"BestFitDecreasing\random\test2.txt",64000,12.1109,11.7188,us,,,,,,10,18
"Backtracking_Unsoreted_no_prune\random\test2.txt",2,443866,406250,us,,,,,,10,18
"Backtracking_Unsoreted_better_prune\random\test2.txt",21,37114.1,34226.2,us,,,,,,10,18
"Backtracking_Unsoreted_best_prune\random\test2.txt",19,36765.2,33717.1,us,,,,,,10,18
"Backtracking_Soreted_asc_no_prune\random\test2.txt",1,3.56202e+06,3.3125e+06,us,,,,,,10,18
